capability,level,implementation_status,test_status,owner,notes
Theme bootstrap,M0,IMPLEMENTED,PASS,technical,Theme contract covers active bootstrap and graceful-load assertion with core caveat documented
Theme listing display,M0,IMPLEMENTED,PASS,technical,Theme contract covers archive template, published property fixture and resolvable permalink
partikulier-core bootstrap,M0,IMPLEMENTED,PASS,technical,Plugin installed and activated in cold runtime
ListingRepository,M0,IMPLEMENTED,PASS,technical,Prepared queries, Estatik sync and whitelist ordering
ListingService,M0,IMPLEMENTED,PASS,technical,Targeted service contract covers invalid and valid creation with cleanup
ListingPolicy,M0,IMPLEMENTED,PASS,technical,Targeted permission matrix covers public anonymous and authenticated creation
SearchService,M0,IMPLEMENTED,PASS,technical,Locale and order whitelist
TranslationService,M0,IMPLEMENTED,PASS,technical,Targeted normalization covers FR EN AR regional forms and fallback
HealthCheck,M0,IMPLEMENTED,PASS,technical,Database and schema health endpoint
Versioned migrations,M0,IMPLEMENTED,PASS,technical,Idempotent dbDelta schema and migration records
REST contracts,M0,IMPLEMENTED,PASS,technical,Listings health leads favorites and permission cases tested
Public privacy controls,M0,IMPLEMENTED,PASS,technical,Targeted redaction contract removes email phone token-like fields
HMAC automation,M0,IMPLEMENTED,PASS,technical,Five detailed rounds and four negative 401 cases executed locally
AuditLogger,M0,IMPLEMENTED,PASS,technical,Targeted persistence test verifies correlation and secret-like metadata removal
Backup and restore,M0,IMPLEMENTED,PASS,operations,Checksum-verified backup restored to separate database and runtime
Rollback,M0,IMPLEMENTED,PASS,operations,Approved atomic symlink rollback tested
Semgrep and dependency controls,M0,IMPLEMENTED,PASS,security,66-target Semgrep, secret scan, SBOM and three vendor archives verified locally
FR EN AR visible content,M1,NOT_IMPLEMENTED,NOT_RUN,content,Automated checks exist; native attestations absent
Accessibility automated DOM gate,M1,IMPLEMENTED,PASS,technical,axe-core Playwright WCAG 2 A/AA 2.1 AA and 2.2 AA on FR EN AR home at 375x667 and 1280x800; does not replace independent manual review
Accessibility WCAG 2.2 AA independent review,M1,NOT_IMPLEMENTED,NOT_RUN,ux,Manual keyboard screen-reader or equivalent review and independent WCAG decision remain required
Visual design system,M1,NOT_IMPLEMENTED,NOT_RUN,ux,Existing visual baselines exist; token/component review incomplete
UX independent review,M1,NOT_IMPLEMENTED,NOT_RUN,ux,Three independent reviewers required
Load test 1000 listings,M1,IMPLEMENTED,PASS,performance,1000 local listings with 30 warmups and 100 measured requests
HTTP p95 p99 gate,M1,IMPLEMENTED,PASS,performance,Local fixed envelope p95 0.739s p99 0.751s; production-equivalent environment still separate
partikulier-pro,M2,NOT_IMPLEMENTED,NOT_RUN,commercial,Explicitly OUT_OF_FIRST_RELEASE_SCOPE; optional module and never implied delivered
Payments and orders,M2,NOT_IMPLEMENTED,NOT_RUN,commercial,Explicitly OUT_OF_FIRST_RELEASE_SCOPE and outside current technical release until implemented
Commercial approval,M2,NOT_IMPLEMENTED,NOT_RUN,product,Required product decision; OUT_OF_FIRST_TECHNICAL_RELEASE until approved
Observability and health,M0,IMPLEMENTED,PASS,operations,Health response no secrets tested; alert delivery remains a separate production approval
REST rate limiting,M0,IMPLEMENTED,PASS,security,Per-route transient limiter with 429 response; shared production cache and proxy identity remain operational validations
